SDR Valuations,,,,,
,,,,,
Report date,Currency Unit,Currency amount under Rule O-1,Exchange rate,U.S. Dollar equivalent,Percent change in exchange rate against U.S. dollar from previous calculation
,,,     U.S.$1.00 = SDR,0.738371,0.581
,,,       SDR1 = US$,1.35433,
,,,,,
08-Apr-03,Euro,0.426,1.067,0.454542,0.822
08-Apr-03,Japanese yen,21,119.82,0.175263,0.768
08-Apr-03,U.K. pound,0.0984,1.5517,0.152687,0.077
08-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.359492,
,,,     U.S.$1.00 = SDR,0.735569,-0.379
,,,       SDR1 = US$,1.35949,
,,,,,
09-Apr-03,Euro,0.426,1.0747,0.457822,0.722
09-Apr-03,Japanese yen,21,120,0.175,-0.15
09-Apr-03,U.K. pound,0.0984,1.5553,0.153042,0.232
09-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.362864,
,,,     U.S.$1.00 = SDR,0.733749,-0.247
,,,       SDR1 = US$,1.36286,
,,,,,
10-Apr-03,Euro,0.426,1.0789,0.459611,0.391
10-Apr-03,Japanese yen,21,119.86,0.175204,0.117
10-Apr-03,U.K. pound,0.0984,1.5632,0.153819,0.508
10-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.365634,
,,,     U.S.$1.00 = SDR,0.732261,-0.203
,,,       SDR1 = US$,1.36563,
,,,,,
11-Apr-03,Euro,0.426,1.0738,0.457439,-0.473
11-Apr-03,Japanese yen,21,120.13,0.174811,-0.225
11-Apr-03,U.K. pound,0.0984,1.5699,0.154478,0.429
11-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.363728,
,,,     U.S.$1.00 = SDR,0.733284,0.14
,,,       SDR1 = US$,1.36373,
,,,,,
14-Apr-03,Euro,0.426,1.0742,0.457609,0.037
14-Apr-03,Japanese yen,21,120.72,0.173956,-0.489
14-Apr-03,U.K. pound,0.0984,1.5736,0.154842,0.236
14-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.363407,
,,,     U.S.$1.00 = SDR,0.733457,0.024
,,,       SDR1 = US$,1.36341,
,,,,,
15-Apr-03,Euro,0.426,1.0767,0.458674,0.233
15-Apr-03,Japanese yen,21,120.54,0.174216,0.149
15-Apr-03,U.K. pound,0.0984,1.5719,0.154675,-0.108
15-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.364565,
,,,     U.S.$1.00 = SDR,0.732834,-0.085
,,,       SDR1 = US$,1.36457,
,,,,,
16-Apr-03,Euro,0.426,1.0827,0.46123,0.557
16-Apr-03,Japanese yen,21,120.42,0.17439,0.1
16-Apr-03,U.K. pound,0.0984,1.5752,0.155,0.21
16-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.36762,
,,,     U.S.$1.00 = SDR,0.731197,-0.223
,,,       SDR1 = US$,1.36762,
,,,,,
17-Apr-03,Euro,0.426,1.0912,0.464851,0.785
17-Apr-03,Japanese yen,21,119.22,0.176145,1.007
17-Apr-03,U.K. pound,0.0984,1.5769,0.155167,0.108
17-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.373163,
,,,     U.S.$1.00 = SDR,0.728246,-0.404
,,,       SDR1 = US$,1.37316,
,,,,,
18-Apr-03,Euro,0.426,1.0884,0.463658,-0.257
18-Apr-03,Japanese yen,21,119.71,0.175424,-0.409
18-Apr-03,U.K. pound,0.0984,1.5736,0.154842,-0.209
18-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.370924,
,,,     U.S.$1.00 = SDR,0.729435,0.163
,,,       SDR1 = US$,1.37092,
,,,,,
21-Apr-03,Euro,0.426,1.0858,0.462551,-0.239
21-Apr-03,Japanese yen,21,120.55,0.174202,-0.697
21-Apr-03,U.K. pound,0.0984,1.5594,0.153445,-0.902
21-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.367198,
,,,     U.S.$1.00 = SDR,0.731423,0.273
,,,       SDR1 = US$,1.3672,
,,,,,
22-Apr-03,Euro,0.426,1.0973,0.46745,1.059
22-Apr-03,Japanese yen,21,119.78,0.175321,0.643
22-Apr-03,U.K. pound,0.0984,1.5766,0.155137,1.103
22-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.374908,
,,,     U.S.$1.00 = SDR,0.727321,-0.561
,,,       SDR1 = US$,1.37491,
,,,,,
23-Apr-03,Euro,0.426,1.0941,0.466087,-0.292
23-Apr-03,Japanese yen,21,120.38,0.174448,-0.498
23-Apr-03,U.K. pound,0.0984,1.5784,0.155315,0.114
23-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.37285,
,,,     U.S.$1.00 = SDR,0.728412,0.15
,,,       SDR1 = US$,1.37285,
,,,,,
24-Apr-03,Euro,0.426,1.1009,0.468983,0.622
24-Apr-03,Japanese yen,21,120.02,0.174971,0.3
24-Apr-03,U.K. pound,0.0984,1.5918,0.156633,0.849
24-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.377587,
,,,     U.S.$1.00 = SDR,0.725907,-0.344
,,,       SDR1 = US$,1.37759,
,,,,,
25-Apr-03,Euro,0.426,1.0976,0.467578,-0.3
25-Apr-03,Japanese yen,21,120.91,0.173683,-0.736
25-Apr-03,U.K. pound,0.0984,1.5881,0.156269,-0.232
25-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.37453,
,,,     U.S.$1.00 = SDR,0.727521,0.222
,,,       SDR1 = US$,1.37453,
,,,,,
28-Apr-03,Euro,0.426,1.1038,0.470219,0.565
28-Apr-03,Japanese yen,21,120.08,0.174883,0.691
28-Apr-03,U.K. pound,0.0984,1.596,0.157046,0.497
28-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.379148,
,,,     U.S.$1.00 = SDR,0.725085,-0.335
,,,       SDR1 = US$,1.37915,
,,,,,
29-Apr-03,Euro,0.426,1.097,0.467322,-0.616
29-Apr-03,Japanese yen,21,120.16,0.174767,-0.067
29-Apr-03,U.K. pound,0.0984,1.5913,0.156584,-0.294
29-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.375673,
,,,     U.S.$1.00 = SDR,0.726917,0.253
,,,       SDR1 = US$,1.37567,
,,,,,
30-Apr-03,Euro,0.426,1.1129,0.474095,1.449
30-Apr-03,Japanese yen,21,119.48,0.175762,0.569
30-Apr-03,U.K. pound,0.0984,1.5961,0.157056,0.302
30-Apr-03,U.S. dollar,0.577,1,0.577,0
,,,,1.383913,
,,,     U.S.$1.00 = SDR,0.722589,-0.595
,,,       SDR1 = US$,1.38391,
,,,,,
01-May-03,Euro,0.426,1.1177,0.47614,0.431
01-May-03,Japanese yen,21,118.65,0.176991,0.7
01-May-03,U.K. pound,0.0984,1.6039,0.157824,0.489
01-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.387955,
,,,     U.S.$1.00 = SDR,0.720484,-0.291
,,,       SDR1 = US$,1.38796,
,,,,,
02-May-03,Euro,0.426,1.1259,0.479633,0.734
02-May-03,Japanese yen,21,118.62,0.177036,0.025
02-May-03,U.K. pound,0.0984,1.6072,0.158148,0.206
02-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.391817,
,,,     U.S.$1.00 = SDR,0.718485,-0.277
,,,       SDR1 = US$,1.39182,
,,,,,
05-May-03,Euro,0.426,1.1272,0.480187,0.115
05-May-03,Japanese yen,21,118.62,0.177036,0
05-May-03,U.K. pound,0.0984,1.6062,0.15805,-0.062
05-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.392273,
,,,     U.S.$1.00 = SDR,0.71825,-0.033
,,,       SDR1 = US$,1.39227,
,,,,,
06-May-03,Euro,0.426,1.1334,0.482828,0.55
06-May-03,Japanese yen,21,118.17,0.17771,0.381
06-May-03,U.K. pound,0.0984,1.609,0.158326,0.174
06-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.395864,
,,,     U.S.$1.00 = SDR,0.716402,-0.257
,,,       SDR1 = US$,1.39586,
,,,,,
07-May-03,Euro,0.426,1.14,0.48564,0.582
07-May-03,Japanese yen,21,117.25,0.179104,0.785
07-May-03,U.K. pound,0.0984,1.6075,0.158178,-0.093
07-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.399922,
,,,     U.S.$1.00 = SDR,0.714326,-0.29
,,,       SDR1 = US$,1.39992,0
,,,,,
08-May-03,Euro,0.426,1.1357,0.483808,-0.377
08-May-03,Japanese yen,21,116.29,0.180583,0.826
08-May-03,U.K. pound,0.0984,1.5996,0.157401,-0.491
08-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.398792,
,,,     U.S.$1.00 = SDR,0.714903,0.081
,,,       SDR1 = US$,1.39879,0
,,,,,
09-May-03,Euro,0.426,1.149,0.489474,1.171
09-May-03,Japanese yen,21,117.27,0.179074,-0.836
09-May-03,U.K. pound,0.0984,1.6031,0.157745,0.219
09-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.403293,
,,,     U.S.$1.00 = SDR,0.71261,-0.321
,,,       SDR1 = US$,1.40329,
,,,,,
12-May-03,Euro,0.426,1.1581,0.493351,0.792
12-May-03,Japanese yen,21,116.58,0.180134,0.592
12-May-03,U.K. pound,0.0984,1.6136,0.158778,0.655
12-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.409263,
,,,     U.S.$1.00 = SDR,0.709591,-0.424
,,,       SDR1 = US$,1.40926,
,,,,,
13-May-03,Euro,0.426,1.1512,0.490411,-0.596
13-May-03,Japanese yen,21,116.88,0.179671,-0.257
13-May-03,U.K. pound,0.0984,1.6074,0.158168,-0.384
13-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.40525,
,,,     U.S.$1.00 = SDR,0.711617,0.286
,,,       SDR1 = US$,1.40525,
,,,,,
14-May-03,Euro,0.426,1.1486,0.489304,-0.226
14-May-03,Japanese yen,21,116.8,0.179795,0.068
14-May-03,U.K. pound,0.0984,1.6137,0.158788,0.392
14-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.404887,
,,,     U.S.$1.00 = SDR,0.711801,0.026
,,,       SDR1 = US$,1.40489,
,,,,,
15-May-03,Euro,0.426,1.1471,0.488665,-0.131
15-May-03,Japanese yen,21,115.7,0.181504,0.951
15-May-03,U.K. pound,0.0984,1.6198,0.159388,0.378
15-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.406557,
,,,     U.S.$1.00 = SDR,0.710956,-0.119
,,,       SDR1 = US$,1.40656,
,,,,,
16-May-03,Euro,0.426,1.1438,0.487259,-0.288
16-May-03,Japanese yen,21,116.32,0.180536,-0.533
16-May-03,U.K. pound,0.0984,1.6215,0.159556,0.105
16-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.404351,
,,,     U.S.$1.00 = SDR,0.712073,0.157
,,,       SDR1 = US$,1.40435,
,,,,,
19-May-03,Euro,0.426,1.1693,0.498122,2.229
19-May-03,Japanese yen,21,115.31,0.182118,0.876
19-May-03,U.K. pound,0.0984,1.6349,0.160874,0.826
19-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.418114,
,,,     U.S.$1.00 = SDR,0.705162,-0.971
,,,       SDR1 = US$,1.41811,
,,,,,
20-May-03,Euro,0.426,1.1656,0.496546,-0.316
20-May-03,Japanese yen,21,117.04,0.179426,-1.478
20-May-03,U.K. pound,0.0984,1.6327,0.160658,-0.135
20-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.41363,
,,,     U.S.$1.00 = SDR,0.707399,0.317
,,,       SDR1 = US$,1.41363,
,,,,,
21-May-03,Euro,0.426,1.1709,0.498803,0.455
21-May-03,Japanese yen,21,116.7,0.179949,0.291
21-May-03,U.K. pound,0.0984,1.6436,0.16173,0.668
21-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.417482,
,,,     U.S.$1.00 = SDR,0.705476,-0.272
,,,       SDR1 = US$,1.41748,
,,,,,
22-May-03,Euro,0.426,1.17,0.49842,-0.077
22-May-03,Japanese yen,21,117.27,0.179074,-0.486
22-May-03,U.K. pound,0.0984,1.6334,0.160727,-0.621
22-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.415221,
,,,     U.S.$1.00 = SDR,0.706603,0.16
,,,       SDR1 = US$,1.41522,
,,,,,
23-May-03,Euro,0.426,1.1794,0.502424,0.803
23-May-03,Japanese yen,21,116.94,0.179579,0.282
23-May-03,U.K. pound,0.0984,1.6396,0.161337,0.38
23-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.42034,
,,,     U.S.$1.00 = SDR,0.704057,-0.36
,,,       SDR1 = US$,1.42034,
,,,,,
26-May-03,Euro,0.426,1.1813,0.503234,0.161
26-May-03,Japanese yen,21,117.27,0.179074,-0.281
26-May-03,U.K. pound,0.0984,1.6384,0.161219,-0.073
26-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.420527,
,,,     U.S.$1.00 = SDR,0.703964,-0.013
,,,       SDR1 = US$,1.42053,
,,,,,
27-May-03,Euro,0.426,1.1913,0.507494,1.009
27-May-03,Japanese yen,21,116.72,0.179918,0.188
27-May-03,U.K. pound,0.0984,1.6442,0.161789,0.281
27-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.426201,
,,,     U.S.$1.00 = SDR,0.701163,-0.411
,,,       SDR1 = US$,1.4262,
,,,,,
28-May-03,Euro,0.426,1.1731,0.499741,-1.528
28-May-03,Japanese yen,21,118.35,0.17744,-1.377
28-May-03,U.K. pound,0.0984,1.634,0.160786,-0.62
28-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.414967,
,,,     U.S.$1.00 = SDR,0.70673,0.794
,,,       SDR1 = US$,1.41497,
,,,,,
29-May-03,Euro,0.426,1.1747,0.500422,0.136
29-May-03,Japanese yen,21,118.83,0.176723,-0.404
29-May-03,U.K. pound,0.0984,1.6421,0.161583,0.496
29-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.415728,
,,,     U.S.$1.00 = SDR,0.70635,-0.054
,,,       SDR1 = US$,1.41573,
,,,,,
30-May-03,Euro,0.426,1.1831,0.504001,0.715
30-May-03,Japanese yen,21,118.76,0.176827,0.059
30-May-03,U.K. pound,0.0984,1.6476,0.162124,0.335
30-May-03,U.S. dollar,0.577,1,0.577,0
,,,,1.419952,
,,,     U.S.$1.00 = SDR,0.704249,-0.297
,,,       SDR1 = US$,1.41995,
,,,,,
02-Jun-03,Euro,0.426,1.17,0.49842,-1.107
02-Jun-03,Japanese yen,21,118.5,0.177215,0.219
02-Jun-03,U.K. pound,0.0984,1.63,0.160392,-1.068
02-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.413027,
,,,     U.S.$1.00 = SDR,0.707701,0.49
,,,       SDR1 = US$,1.41303,
,,,,,
03-Jun-03,Euro,0.426,1.1718,0.499187,0.154
03-Jun-03,Japanese yen,21,118.84,0.176708,-0.286
03-Jun-03,U.K. pound,0.0984,1.635,0.160884,0.307
03-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.413779,
,,,     U.S.$1.00 = SDR,0.707324,-0.053
,,,       SDR1 = US$,1.41378,
,,,,,
04-Jun-03,Euro,0.426,1.1704,0.49859,-0.119
04-Jun-03,Japanese yen,21,118.54,0.177155,0.253
04-Jun-03,U.K. pound,0.0984,1.6327,0.160658,-0.141
04-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.413403,
,,,     U.S.$1.00 = SDR,0.707512,0.027
,,,       SDR1 = US$,1.4134,
,,,,,
05-Jun-03,Euro,0.426,1.1678,0.497483,-0.222
05-Jun-03,Japanese yen,21,118.39,0.17738,0.127
05-Jun-03,U.K. pound,0.0984,1.639,0.161278,0.386
05-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.413141,
,,,     U.S.$1.00 = SDR,0.707643,0.019
,,,       SDR1 = US$,1.41314,
,,,,,
06-Jun-03,Euro,0.426,1.1824,0.503702,1.25
06-Jun-03,Japanese yen,21,117.85,0.178193,0.458
06-Jun-03,U.K. pound,0.0984,1.665,0.163836,1.586
06-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.422731,
,,,     U.S.$1.00 = SDR,0.702874,-0.674
,,,       SDR1 = US$,1.42273,
,,,,,
09-Jun-03,Euro,0.426,1.1702,0.498505,-1.032
09-Jun-03,Japanese yen,21,118.38,0.177395,-0.448
09-Jun-03,U.K. pound,0.0984,1.6514,0.162498,-0.817
09-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.415398,
,,,     U.S.$1.00 = SDR,0.706515,0.518
,,,       SDR1 = US$,1.4154,
,,,,,
10-Jun-03,Euro,0.426,1.1721,0.499315,0.162
10-Jun-03,Japanese yen,21,118.06,0.177876,0.271
10-Jun-03,U.K. pound,0.0984,1.6515,0.162508,0.006
10-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.416699,
,,,     U.S.$1.00 = SDR,0.705866,-0.092
,,,       SDR1 = US$,1.4167,
,,,,,
11-Jun-03,Euro,0.426,1.1742,0.500209,0.179
11-Jun-03,Japanese yen,21,117.64,0.178511,0.357
11-Jun-03,U.K. pound,0.0984,1.6638,0.163718,0.745
11-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.419438,
,,,     U.S.$1.00 = SDR,0.704504,-0.193
,,,       SDR1 = US$,1.41944,
,,,,,
12-Jun-03,Euro,0.426,1.1748,0.500465,0.051
12-Jun-03,Japanese yen,21,117.58,0.178602,0.051
12-Jun-03,U.K. pound,0.0984,1.6735,0.164672,0.583
12-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.420739,
,,,     U.S.$1.00 = SDR,0.703859,-0.092
,,,       SDR1 = US$,1.42074,
,,,,,
13-Jun-03,Euro,0.426,1.1767,0.501274,0.162
13-Jun-03,Japanese yen,21,117.64,0.178511,-0.051
13-Jun-03,U.K. pound,0.0984,1.6694,0.164269,-0.245
13-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.421054,
,,,     U.S.$1.00 = SDR,0.703703,-0.022
,,,       SDR1 = US$,1.42105,
,,,,,
16-Jun-03,Euro,0.426,1.1872,0.505747,0.892
16-Jun-03,Japanese yen,21,117.56,0.178632,0.068
16-Jun-03,U.K. pound,0.0984,1.6834,0.165647,0.839
16-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.427026,
,,,     U.S.$1.00 = SDR,0.700758,-0.419
,,,       SDR1 = US$,1.42703,
,,,,,
17-Jun-03,Euro,0.426,1.1811,0.503149,-0.514
17-Jun-03,Japanese yen,21,118.05,0.177891,-0.415
17-Jun-03,U.K. pound,0.0984,1.6803,0.165342,-0.184
17-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.423382,
,,,     U.S.$1.00 = SDR,0.702552,0.256
,,,       SDR1 = US$,1.42338,
,,,,,
18-Jun-03,Euro,0.426,1.1728,0.499613,-0.703
18-Jun-03,Japanese yen,21,118.57,0.177111,-0.439
18-Jun-03,U.K. pound,0.0984,1.68,0.165312,-0.018
18-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.419036,
,,,     U.S.$1.00 = SDR,0.704704,0.306
,,,       SDR1 = US$,1.41904,
,,,,,
19-Jun-03,Euro,0.426,1.1627,0.49531,-0.861
19-Jun-03,Japanese yen,21,118.93,0.176574,-0.303
19-Jun-03,U.K. pound,0.0984,1.6732,0.164643,-0.405
19-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.413527,
,,,     U.S.$1.00 = SDR,0.70745,0.39
,,,       SDR1 = US$,1.41353,
,,,,,
20-Jun-03,Euro,0.426,1.1682,0.497653,0.473
20-Jun-03,Japanese yen,21,118.22,0.177635,0.601
20-Jun-03,U.K. pound,0.0984,1.6742,0.164741,0.06
20-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.417029,
,,,     U.S.$1.00 = SDR,0.705702,-0.247
,,,       SDR1 = US$,1.41703,
,,,,,
23-Jun-03,Euro,0.426,1.1534,0.491348,-1.267
23-Jun-03,Japanese yen,21,117.96,0.178026,0.22
23-Jun-03,U.K. pound,0.0984,1.6579,0.163137,-0.974
23-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.409511,
,,,     U.S.$1.00 = SDR,0.709466,0.533
,,,       SDR1 = US$,1.40951,
,,,,,
24-Jun-03,Euro,0.426,1.1565,0.492669,0.269
24-Jun-03,Japanese yen,21,117.86,0.178177,0.085
24-Jun-03,U.K. pound,0.0984,1.6685,0.16418,0.639
24-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.412026,
,,,     U.S.$1.00 = SDR,0.708202,-0.178
,,,       SDR1 = US$,1.41203,
,,,,,
25-Jun-03,Euro,0.426,1.1539,0.491561,-0.225
25-Jun-03,Japanese yen,21,117.56,0.178632,0.255
25-Jun-03,U.K. pound,0.0984,1.6718,0.164505,0.198
25-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.411698,
,,,     U.S.$1.00 = SDR,0.708367,0.023
,,,       SDR1 = US$,1.4117,
,,,,,
26-Jun-03,Euro,0.426,1.1462,0.488281,-0.667
26-Jun-03,Japanese yen,21,118.8,0.176768,-1.044
26-Jun-03,U.K. pound,0.0984,1.667,0.164033,-0.287
26-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.406082,
,,,     U.S.$1.00 = SDR,0.711196,0.399
,,,       SDR1 = US$,1.40608,
,,,,,
27-Jun-03,Euro,0.426,1.142,0.486492,-0.366
27-Jun-03,Japanese yen,21,119.69,0.175453,-0.744
27-Jun-03,U.K. pound,0.0984,1.6551,0.162862,-0.714
27-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.401807,
,,,     U.S.$1.00 = SDR,0.713365,0.305
,,,       SDR1 = US$,1.40181,
,,,,,
30-Jun-03,Euro,0.426,1.1423,0.48662,0.026
30-Jun-03,Japanese yen,21,120.09,0.174869,-0.333
30-Jun-03,U.K. pound,0.0984,1.6501,0.16237,-0.302
30-Jun-03,U.S. dollar,0.577,1,0.577,0
,,,,1.400859,
,,,     U.S.$1.00 = SDR,0.713848,0.068
,,,       SDR1 = US$,1.40086,
,,,,,
01-Jul-03,Euro,0.426,1.1552,0.492115,1.129
01-Jul-03,Japanese yen,21,119.72,0.175409,0.309
01-Jul-03,U.K. pound,0.0984,1.658,0.163147,0.479
01-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.407671,
,,,     U.S.$1.00 = SDR,0.710393,-0.484
,,,       SDR1 = US$,1.40767,
,,,,,
02-Jul-03,Euro,0.426,1.1536,0.491434,-0.139
02-Jul-03,Japanese yen,21,118.98,0.1765,0.622
02-Jul-03,U.K. pound,0.0984,1.6637,0.163708,0.344
02-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.408642,
,,,     U.S.$1.00 = SDR,0.709904,-0.069
,,,       SDR1 = US$,1.40864,
,,,,,
03-Jul-03,Euro,0.426,1.1458,0.488111,-0.676
03-Jul-03,Japanese yen,21,118.4,0.177365,0.49
03-Jul-03,U.K. pound,0.0984,1.6625,0.16359,-0.072
03-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.406066,
,,,     U.S.$1.00 = SDR,0.711204,0.183
,,,       SDR1 = US$,1.40607,
,,,,,
04-Jul-03,Euro,0.426,1.147,0.488622,0.105
04-Jul-03,Japanese yen,21,118.12,0.177785,0.237
04-Jul-03,U.K. pound,0.0984,1.6685,0.16418,0.361
04-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.407587,
,,,     U.S.$1.00 = SDR,0.710436,-0.108
,,,       SDR1 = US$,1.40759,
,,,,,
07-Jul-03,Euro,0.426,1.1366,0.484192,-0.803
07-Jul-03,Japanese yen,21,117.96,0.178026,0.373
07-Jul-03,U.K. pound,0.0984,1.6528,0.162636,-0.583
07-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.401854,
,,,     U.S.$1.00 = SDR,0.713341,0.3
,,,       SDR1 = US$,1.40185,
,,,,,
08-Jul-03,Euro,0.426,1.1276,0.480358,-0.792
08-Jul-03,Japanese yen,21,118.48,0.177245,-0.439
08-Jul-03,U.K. pound,0.0984,1.6362,0.161002,-1.004
08-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.395605,
,,,     U.S.$1.00 = SDR,0.716535,0.448
,,,       SDR1 = US$,1.39561,
,,,,,
09-Jul-03,Euro,0.426,1.1358,0.483851,0.727
09-Jul-03,Japanese yen,21,118.13,0.17777,0.296
09-Jul-03,U.K. pound,0.0984,1.6335,0.160736,-0.165
09-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.399357,
,,,     U.S.$1.00 = SDR,0.714614,-0.268
,,,       SDR1 = US$,1.39936,
,,,,,
10-Jul-03,Euro,0.426,1.133,0.482658,-0.247
10-Jul-03,Japanese yen,21,117.63,0.178526,0.425
10-Jul-03,U.K. pound,0.0984,1.6375,0.16113,0.245
10-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.399314,
,,,     U.S.$1.00 = SDR,0.714636,0.003
,,,       SDR1 = US$,1.39931,
,,,,,
11-Jul-03,Euro,0.426,1.1321,0.482275,-0.079
11-Jul-03,Japanese yen,21,117.87,0.178162,-0.204
11-Jul-03,U.K. pound,0.0984,1.636,0.160982,-0.092
11-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.398419,
,,,     U.S.$1.00 = SDR,0.715093,0.064
,,,       SDR1 = US$,1.39842,
,,,,,
14-Jul-03,Euro,0.426,1.1283,0.480656,-0.336
14-Jul-03,Japanese yen,21,117.73,0.178374,0.119
14-Jul-03,U.K. pound,0.0984,1.6248,0.15988,-0.685
14-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.39591,
,,,     U.S.$1.00 = SDR,0.716379,0.18
,,,       SDR1 = US$,1.39591,
,,,,,
15-Jul-03,Euro,0.426,1.1333,0.482786,0.443
15-Jul-03,Japanese yen,21,117.41,0.17886,0.273
15-Jul-03,U.K. pound,0.0984,1.6119,0.158611,-0.794
15-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.397257,
,,,     U.S.$1.00 = SDR,0.715688,-0.096
,,,       SDR1 = US$,1.39726,
,,,,,
16-Jul-03,Euro,0.426,1.1142,0.474649,-1.685
16-Jul-03,Japanese yen,21,118.46,0.177275,-0.886
16-Jul-03,U.K. pound,0.0984,1.5912,0.156574,-1.284
16-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.385498,
,,,     U.S.$1.00 = SDR,0.721762,0.849
,,,       SDR1 = US$,1.3855,
,,,,,
17-Jul-03,Euro,0.426,1.1234,0.478568,0.826
17-Jul-03,Japanese yen,21,118.48,0.177245,-0.017
17-Jul-03,U.K. pound,0.0984,1.5957,0.157017,0.283
17-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.38983,
,,,     U.S.$1.00 = SDR,0.719512,-0.312
,,,       SDR1 = US$,1.38983,
,,,,,
18-Jul-03,Euro,0.426,1.1193,0.476822,-0.365
18-Jul-03,Japanese yen,21,119.14,0.176263,-0.554
18-Jul-03,U.K. pound,0.0984,1.5926,0.156712,-0.194
18-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.386797,
,,,     U.S.$1.00 = SDR,0.721086,0.219
,,,       SDR1 = US$,1.3868,
,,,,,
21-Jul-03,Euro,0.426,1.1296,0.48121,0.92
21-Jul-03,Japanese yen,21,118.5,0.177215,0.54
21-Jul-03,U.K. pound,0.0984,1.5909,0.156545,-0.107
21-Jul-03,U.S. dollar,0.577,1,0.577,0
,,,,1.39197,
,,,     U.S.$1.00 = SDR,0.718406,-0.372
,,,       SDR1 = US$,1.39197,
,,,,,
22-Jul-03,Euro,0.426,1.1364,0.484106,0.602
22-Jul-03,Japanese yen,21,119.09,0.176337,-0.495
22-Jul-03,U.K. pound,0.0984,1.6023,0.157666,0.717
